status,time,card_type,city,amount,id
success,2025-09-28 04:04:00,Amex,Karaj,-5000.0,69
success,2025-09-15 07:07:00,Discover,Shiraz,205000.0,73
fail,2025-09-28 13:10:00,MasterCard,Isfahan,419089.0,7
failed,2025-09-07 06:06:00,MasterCard,Tabriz,914465.0,60
success,2025-09-12 23:59:00,Visa,Shiraz,545116.0,4
fail,2025-09-29 21:23:00,Visa,tehr@n,976246.0,5
fail,2025-09-08 19:40:00,Master-Card,Tehran,-5000.0,11
failed,2025-09-15 23:17:00,Visa,Ahvaz,0.0,15
success,2025-09-03 05:23:00,MasterCard,Qom,585954.0,64
fail,2025-09-14 07:08:00,VISA,Mashhad,583952.0,99
fail,2025-09-17 01:51:00,Vsa,Tehran ,1883871.0,13
fail,2025-09-04 05:23:00,Visa,Qom,100.5,7
success,2025-09-18 14:00:00,MasterCard,karaj,0.0,6
failed,2025-09-08 14:00:00,MastCard,Mashhad,583952.0,56
success,2025-09-04 10:05:00,MastCard,Tabriz,-1.0,64
success,2025-09-02 17:07:00,MastCard,Karaj,1578078.0,50
failed,2025-09-30 04:04:00,MasterCard,TEHRAN,99999.0,30
success,2025-09-06 08:08:00,Visa,karaj,0.0,22
success,2025-09-22 02:54:00,MasterCard,Tehran,1000.0,25
fail,2025-09-10 19:51:00,Amex,Tabriz,-999999.0,28
success,2025-09-04 03:27:00,Amex,Mashhad,1387769.0,84
success,2025-09-22 04:15:00,Visa,Qom,-999999.0,39
fail,2025-09-29 16:16:00,Visa,Tehran,1782689.0,67
succeed,2025-09-18 10:05:00,VISA,Tabriz,-5000.0,5
failed,2025-09-26 14:11:00,Visa,Ahvaz,1472823.0,65
success,2025-09-12 09:45:00,Discover,Karaj,1578078.0,15
success,2025-09-02 16:40:00,MastCard,karaj,100.5,91
success,2025-09-10 02:20:00,MasterCard,tehr@n,585954.0,67
fail,2025-09-30 09:09:00,Visa,Tabriz,177050.0,40
fail,2025-09-04 14:00:00,MasterCard,THR,1578078.0,99
success,2025-09-14 23:59:00,Amex,Shiraz,1427657.0,69
success,2025-09-16 01:01:00,MasterCard,tehr@n,-5000.0,96
failed,2025-09-15 22:27:00,nan,Tabriz,585954.0,77
fail,2025-09-08 23:17:00,Discover,Tabriz,99999.0,43
success,2025-09-14 17:07:00,Amex,Karaj,0.0,1
success,2025-09-23 19:29:00,Visa,TEHRAN,1427657.0,22
success,2025-09-28 02:37:00,Discover,karaj,343679.0,62
failed,2025-09-25 19:40:00,MastCard,Karaj,1782689.0,79
succeed,2025-09-30 13:10:00,Visa,Isfahan,1782689.0,26
fail,2025-09-08 11:11:00,Amex,Karaj,555555.0,18
fail,2025-09-21 03:27:00,Visa,Ahvaz,12345.0,48
fail,2025-09-16 07:08:00,Visa,Ahvaz,333333.0,9
success,2025-09-13 10:48:00,MasterCard,Karaj,200000.0,1
fail,2025-09-18 02:24:00,MastCard,Tehran,914465.0,9
success,2025-09-15 09:45:00,Visa,Shiraz,250000.0,23
success,2025-09-21 13:10:00,nan,Mashhad,471227.0,45
success,2025-09-24 15:45:00,Visa,Tehran ,1463119.0,2
success,2025-09-26 07:07:00,Visa,Shiraz,1427657.0,14
success,2025-09-25 21:23:00,Visa,Shiraz,100000.0,38
success,2025-09-28 04:40:00,Visa,nan,100.5,40
fail,2025-09-28 23:59:00,Visa,Tehran,583952.0,63
success,2025-09-28 21:23:00,Vsa,Tabriz,9999999999.0,82
success,2025-09-13 00:00:00,MasterCard,Shiraz,333333.0,16
success,2025-09-09 08:08:00,Discover,Tabriz,0.0,94
failed,2025-09-29 14:11:00,Master Card,Isfahan,-1.0,75
failed,2025-09-15 11:11:00,Discover,TEHRAN,555555.0,6
failed,2025-09-13 06:06:00,Visa,Qom,452545.0,3
fail,2025-09-01 16:40:00,Discover,Tehran,100.5,14
success,2025-09-25 09:00:00,Discover,Tabriz,0.0,66
fail,2025-09-07 18:12:00,MasterCard,Tehran,205000.0,97
fail,2025-09-09 08:08:00,Discover,Qom,9999999999.0,96
fail,2025-09-24 08:08:00,MasterCard,Tehran,343679.0,75
fail,2025-09-01 09:09:00,MastCard,THR,177050.0,87
fail,2025-09-12 12:12:00,Vsa,Qom,-999999.0,67
success,2025-09-08 16:40:00,MastCard,Tehran,774681.0,31
Success,2025-09-24 16:40:00,Visa,Tabriz,100.5,33
fail,2025-09-11 23:17:00,Visa,Shiraz,1000.0,89
failed,2025-09-19 02:37:00,MasterCard,Isfahan,120000.0,1
fail,2025-09-17 16:40:00,Visa,Mashhad,850000.0,44
fail,2025-09-08 22:27:00,Visa,TEHRAN,412308.0,15
success,2025-09-03 02:37:00,MasterCard,Isfahan,5000.0,37
success,2025-09-03 03:27:00,Discover,Isfahan,545116.0,27
fail,2025-09-01 02:37:00,MastCard,karaj,419089.0,48
fail,2025-09-27 19:40:00,Discover,Tabriz,-999999.0,27
success,2025-09-05 16:40:00,VISA,Tehran,100000.0,12
fail,2025-09-10 02:20:00,MastCard,Tehran,1305967.0,67
success,2025-09-07 03:27:00,Visa,tehr@n,-5000.0,30
success,2025-09-26 09:09:00,MasterCard,tehr@n,0.0,97
fail,2025-09-09 21:21:00,Amex,Tabriz,419089.0,88
failed,2025-09-28 00:00:00,MastCard,Qom,976246.0,66
fail,2025-09-07 23:59:00,MasterCard,Tehran,-5000.0,7
success,2025-09-09 10:48:00,MasterCard,Shiraz,1158713.0,34
success,2025-09-08 16:40:00,Discover,Tehran,0.0,32
FAIL,2025-09-12 19:51:00,Discover,Tehran,914465.0,39
success,2025-09-02 10:48:00,Master Card,karaj,1768588.0,97
success,2025-09-01 04:15:00,Discover,Tabriz,452545.0,43
fail,2025-09-16 12:34:00,Visa,Tehran,300000.0,43
success,2025-09-23 07:32:00,Visa,karaj,-999999.0,78
success,2025-09-23 22:27:00,Master-Card,Ahvaz,1768588.0,3
success,2025-09-30 18:00:00,Amex,Karaj,1427657.0,46
failed,2025-09-24 00:00:00,Vsa,TEHRAN,120000.0,32
fail,2025-09-05 07:32:00,Vsa,Mashhad,200000.0,43
failed,2025-09-03 07:32:00,Vsa,Tehran,0.0,81
failed,2025-09-12 02:30:00,Amex,Tehran,914282.0,3
success,2025-09-08 23:17:00,Visa,Tabriz,-5000.0,74
success,2025-09-22 20:33:00,Visa,Tehran,-5000.0,63
fail,2025-09-27 07:32:00,Amex,Qom,471227.0,40
succeed,2025-09-03 12:12:00,Discover,Tehran,177050.0,18
fail,2025-09-01 09:09:00,Amex,Isfahan,850000.0,67
success,2025-09-03 23:59:00,MasterCard,Tehran,914465.0,62
success,2025-09-05 02:37:00,Amex,Isfahan,250000.0,10
Success,2025-09-15 23:59:00,Visa,Shiraz,250000.0,52
success,2025-09-14 02:30:00,Visa,Isfahan,976246.0,73
success,2025-09-03 21:10:00,MastCard,Isfahan,900000.0,46
fail,2025-09-01 18:00:00,Visa,nan,0.0,55
fail,2025-09-05 05:56:00,Amex,Karaj,250000.0,46
fail,2025-09-26 19:19:00,Amex,Mashhad,12345.0,75
failed,2025-09-23 21:21:00,visa,Qom,1883871.0,60
success,2025-09-14 07:08:00,Vsa,Shiraz,850000.0,98
success,2025-09-07 02:37:00,MasterCard,Tehran,250000.0,26
success,2025-09-27 01:51:00,Amex,Tehran,300000.0,27
success,2025-09-09 12:44:00,Visa,Shiraz,585954.0,38
fail,2025-09-15 19:51:00,Discover,Isfahan,914282.0,22
fail,2025-09-15 00:00:00,MastCard,Tehran,1502601.0,26
fail,2025-09-26 02:37:00,Amex,Tabriz,1578078.0,87
success,2025-09-10 22:27:00,MasterCard,Tehran,1578078.0,69
fail,2025-09-28 00:00:00,Visa,TEHRAN,200000.0,35
success,2025-09-13 00:00:00,Vsa,Tabriz,0.0,66
success,2025-09-19 21:23:00,Discover,Tehran,914282.0,100
success,2025-09-07 20:33:00,Vsa,Shiraz,1000.0,73
fail,2025-09-17 10:48:00,Amex,Mashhad,1782689.0,51
fail,2025-09-20 20:33:00,Discover,Qom,419089.0,18
fail,2025-09-29 00:00:00,Visa,Isfahan,-5000.0,43
success,2025-09-04 21:23:00,Discover,Mashhad,1158713.0,12
fail,2025-09-30 10:48:00,Master-Card,Ahvaz,443463.0,3
failed,2025-09-05 10:05:00,Vsa,Tabriz,120000.0,82
success,2025-09-23 13:13:00,Amex,Isfahan,9999999999.0,7
fail,2025-09-07 12:34:00,MasterCard,tehr@n,1472823.0,98
success,2025-09-13 23:17:00,Amex,Tehran,419089.0,6
success,2025-09-15 01:51:00,MasterCard,Tabriz,-5000.0,82
success,2025-09-11 09:00:00,Amex,Tehran,650000.0,45
fail,2025-09-29 08:08:00,Discover,Tehran,9999999999.0,87
fail,2025-09-04 09:45:00,Vsa,Tabriz,0.0,39
fail,2025-09-13 18:45:00,MastCard,Tehran,1578078.0,51
fail,2025-09-07 11:11:00,Discover,Tehran,585954.0,9
failed,2025-09-27 02:54:00,Vsa,Isfahan,200000.0,100
success,2025-09-19 12:44:00,MasterCard,Tehran,583952.0,23
Success,2025-09-22 11:11:00,Visa,Ahvaz,1463119.0,12
fail,2025-09-28 07:32:00,Visa,Ahvaz,177050.0,89
fail,2025-09-02 23:17:00,MastCard,Isfahan,0.0,62
success,2025-09-10 14:11:00,Master-Card,ThRan,0.0,73
fail,2025-09-13 04:15:00,Vsa,Karaj,0.0,77
fail,2025-09-30 07:08:00,Amex,Karaj,9999999999.0,40
success,2025-09-25 02:20:00,Visa,Tehran,0.0,54
fail,2025-09-21 23:59:00,Visa,karaj,100.5,81
success,2025-09-06 19:40:00,Discover,tehr@n,1502601.0,7
fail,2025-09-28 20:33:00,Master-Card,Tabriz,-5000.0,17
success,2025-09-28 14:11:00,VISA,Karaj,200000.0,50
failed,2025-09-12 22:27:00,Discover,Karaj,419089.0,24
fail,2025-09-12 00:00:00,MastCard,Tabriz,200000.0,2
Success,2025-09-20 21:21:00,Amex,Mashhad,-1.0,100
success,2025-09-30 02:30:00,Visa,Tehran,914465.0,93
Success,2025-09-30 10:05:00,MasterCard,Tehran,50200.0,83
fail,2025-09-11 21:21:00,Vsa,Tehran,976246.0,33
success,2025-09-26 03:27:00,Discover,Qom,200000.0,21
fail,2025-09-23 21:23:00,Master-Card,Shiraz,177050.0,74
success,2025-09-28 19:19:00,Discover,TEHRAN,-5000.0,53
success,2025-09-25 14:55:00,Visa,Qom,-5000.0,46
success,2025-09-07 14:02:00,Visa,Tabriz,850000.0,45
Success,2025-09-30 14:11:00,Vsa,Tehran,443463.0,9
fail,2025-09-01 02:30:00,MasterCard,THR,99999.0,6
fail,2025-09-01 14:00:00,Vsa,Mashhad,9999999999.0,51
success,2025-09-25 13:13:00,MasterCard,Karaj,-5000.0,35
success,2025-09-27 04:04:00,MasterCard,Tehran,1463119.0,82
success,2025-09-30 10:05:00,Vsa,Mashhad,976246.0,53
success,2025-09-25 02:30:00,MasterCard,Tabriz,63489.0,19
Success,2025-09-20 10:05:00,Vsa,Tehran,177050.0,69
success,2025-09-13 19:29:00,Visa,Ahvaz,650000.0,25
fail,2025-09-09 11:11:00,Amex,Mashhad,120000.0,11
fail,2025-09-03 14:11:00,MastCard,Tabriz,650000.0,74
FAIL,2025-09-07 00:00:00,Master-Card,Ahvaz,0.0,17
success,2025-09-06 05:23:00,Visa,Mashhad,471227.0,36
Success,2025-09-08 02:54:00,Amex,Tehran,-5000.0,91
fail,2025-09-27 10:48:00,MasterCard,tehr@n,412308.0,96
success,2025-09-09 05:56:00,Discover,Tabriz,1305967.0,97
success,2025-09-30 10:05:00,Visa,karaj,914282.0,21
fail,2025-09-05 14:11:00,Visa,karaj,583952.0,18
success,2025-09-01 00:00:00,Vsa,Tehran,900000.0,60
success,2025-09-19 03:00:00,MastCard,Mashhad,1768588.0,18
success,2025-09-10 12:12:00,Discover,Tehran,419089.0,1
failed,2025-09-12 19:19:00,Vsa,Isfahan,1578078.0,14
failed,2025-09-24 03:27:00,Visa,Karaj,177050.0,8
failed,2025-09-15 02:30:00,Amex,Tabriz,343679.0,66
failed,2025-09-27 05:23:00,Master-Card,Tehran,443463.0,51
success,2025-09-22 02:37:00,Vsa,Mashhad,850000.0,79
fail,2025-09-24 02:37:00,Discover,Qom,0.0,60
failed,2025-09-09 11:11:00,MastCard,Shiraz,-5000.0,34
success,2025-09-20 12:12:00,MasterCard,Ahvaz,1768588.0,36
fail,2025-09-17 08:08:00,Vsa,Karaj,443463.0,62
success,2025-09-30 14:30:00,MasterCard,karaj,200000.0,1
fail,2025-09-17 07:08:00,MastCard,Tabriz,0.0,85
success,2025-09-26 13:13:00,Visa,Qom,200000.0,42
fail,2025-09-20 14:11:00,Amex,Isfahan,123456.0,1
fail,2025-09-12 20:33:00,Amex,Tehran ,976246.0,97
Success,2025-09-30 02:24:00,Amex,Isfahan,-1.0,84
success,2025-09-07 14:00:00,MastCard,Tehran ,1502601.0,54
success,2025-09-02 14:30:00,nan,Ahvaz,452545.0,47
success,2025-09-03 17:17:00,Vsa,Karaj,-5000.0,39
failed,2025-09-17 05:56:00,Visa,Mashhad,343679.0,30
success,2025-09-05 09:09:00,Vsa,Isfahan,471227.0,7
success,2025-09-17 12:12:00,Visa,Mashhad,50200.0,22
FAIL,2025-09-24 20:20:00,Amex,Tabriz,1472823.0,50
fail,2025-09-17 18:12:00,Master-Card,TEHRAN,250000.0,45
Success,2025-09-27 02:20:00,Visa,Ahvaz,914282.0,74
fail,2025-09-17 21:21:00,Master-Card,Ahvaz,333333.0,72
success,2025-09-02 20:20:00,Vsa,Isfahan,5000.0,92
fail,2025-09-02 12:12:00,MasterCard,Tehran,914465.0,10
success,2025-09-28 11:11:00,Discover,Karaj,471227.0,14
success,2025-09-22 07:08:00,MasterCard,Isfahan,120000.0,46
succeed,2025-09-23 23:59:00,VISA,THR,250000.0,75
FAIL,2025-09-05 10:05:00,Visa,Ahvaz,850000.0,6
FAIL,2025-09-01 10:48:00,Amex,Tehran,450000.0,21
fail,2025-09-01 14:02:00,Visa,Qom,585954.0,62
succeed,2025-09-19 14:55:00,Visa,Karaj,-999999.0,98
success,2025-09-30 02:30:00,MastCard,Qom,0.0,19
failed,2025-09-02 19:51:00,Discover,Mashhad,300000.0,89
fail,2025-09-21 10:48:00,visa,Tabriz,123456.0,82
success,2025-09-12 20:20:00,MasterCard,Tabriz,774681.0,100
FAIL,2025-09-26 21:21:00,MasterCard,Ahvaz,1768588.0,62
Success,2025-09-06 23:59:00,Visa,Tehran,471227.0,83
success,2025-09-23 01:01:00,Master Card,Ahvaz,343679.0,53
failed,2025-09-04 09:45:00,Visa,Mashhad,-5000.0,24
fail,2025-09-23 14:11:00,MasterCard,tehr@n,976246.0,56
success,2025-09-11 02:37:00,MasterCard,nan,343679.0,62
success,2025-09-24 07:32:00,MasterCard,Shiraz,250000.0,34
fail,2025-09-27 05:56:00,Amex,Isfahan,545116.0,22
fail,2025-09-17 10:05:00,Amex,Mashhad,1463119.0,68
fail,2025-09-06 19:40:00,Visa,Tabriz,250000.0,57
success,2025-09-24 15:45:00,MasterCard,Tehran,100000.0,10
fail,2025-09-05 14:11:00,Vsa,Qom,63489.0,66
success,2025-09-20 12:34:00,MasterCard,Ahvaz,1578078.0,8
fail,2025-09-02 11:11:00,Visa,Tabriz,177050.0,98
success,2025-09-06 06:30:00,Discover,Isfahan,976246.0,38
success,2025-09-22 08:08:00,Visa,Qom,0.0,62
success,2025-09-11 14:55:00,Visa,TEHRAN,1782689.0,28
success,2025-09-16 21:21:00,Discover,Tehran,333333.0,10
success,2025-09-16 04:40:00,MasterCard,Tabriz,0.0,45
fail,2025-09-01 11:11:00,Visa,TEHRAN,1782689.0,65
failed,2025-09-09 02:54:00,Amex,Tehran,650000.0,99
fail,2025-09-28 09:00:00,visa,Shiraz,177050.0,67
fail,2025-09-27 21:23:00,VISA,Shiraz,412308.0,9
success,2025-09-06 06:06:00,Vsa,Isfahan,452545.0,5
fail,2025-09-16 00:00:00,Discover,Mashhad,1427657.0,10
failed,2025-09-29 23:59:00,Visa,THR,100000.0,12
fail,2025-09-03 05:23:00,Vsa,Tehran,0.0,82
success,2025-09-20 12:44:00,Visa,Tabriz,914282.0,58
fail,2025-09-28 19:29:00,Visa,Mashhad,914465.0,21
fail,2025-09-27 13:10:00,MasterCard,Isfahan,-999999.0,21
fail,2025-09-04 14:11:00,Visa,Qom,1472823.0,65
failed,2025-09-19 23:59:00,Vsa,TEHRAN,0.0,3
FAIL,2025-09-26 07:08:00,Vsa,TEHRAN,-999999.0,69
success,2025-09-03 03:27:00,MastCard,Tabriz,419089.0,90
failed,2025-09-19 14:55:00,Vsa,Tabriz,12345.0,64
success,2025-09-20 19:51:00,Visa,Tehran,555555.0,49
FAIL,2025-09-07 07:08:00,MastCard,TEHRAN,471227.0,72
failed,2025-09-20 16:40:00,Discover,Isfahan,-5000.0,17
fail,2025-09-09 03:00:00,MastCard,Mashhad,200000.0,73
success,2025-09-01 19:51:00,Visa,Ahvaz,-1.0,32
success,2025-09-08 19:51:00,MastCard,Mashhad,100.5,70
fail,2025-09-07 17:17:00,VISA,Tehran,63489.0,21
fail,2025-09-18 10:48:00,Visa,Isfahan,914282.0,7
Success,2025-09-08 11:11:00,Visa,Shiraz,443463.0,7
Success,2025-09-01 02:37:00,Visa,Karaj,850000.0,27
failed,2025-09-11 13:10:00,MasterCard,Shiraz,123456.0,8
succeed,2025-09-28 02:30:00,Discover,Tehran,100.5,73
failed,2025-09-25 11:11:00,Vsa,Tabriz,1578078.0,28
fail,2025-09-25 05:23:00,MasterCard,Karaj,0.0,79
fail,2025-09-18 12:12:00,MasterCard,THR,-5000.0,66
fail,2025-09-23 11:11:00,MastCard,Tehran,976246.0,71
fail,2025-09-30 17:07:00,Discover,Tehran,-999999.0,47
fail,2025-09-10 02:30:00,Discover,Shiraz,0.0,82
success,2025-09-03 18:12:00,MastCard,Qom,1768588.0,87
failed,2025-09-07 01:01:00,Vsa,Tehran,1463119.0,10
failed,2025-09-28 21:10:00,Visa,Qom,914282.0,33
success,2025-09-16 13:13:00,Visa,Tehran ,900000.0,7
Success,2025-09-26 10:48:00,Visa,Shiraz,99999.0,3
success,2025-09-16 12:44:00,Discover,Mashhad,1.0,14
failed,2025-09-25 04:40:00,Discover,karaj,1158713.0,44
success,2025-09-20 12:12:00,MastCard,Tabriz,-999999.0,46
fail,2025-09-28 20:33:00,Vsa,Isfahan,1578078.0,61
Success,2025-09-17 05:56:00,Visa,Mashhad,-5000.0,36
fail,2025-09-02 07:08:00,Amex,Mashhad,100.5,13
success,2025-09-01 20:33:00,Discover,TEHRAN,100000.0,16
fail,2025-09-16 19:51:00,MasterCard,Tabriz,1578078.0,80
success,2025-09-30 21:10:00,Amex,Tehran,471227.0,5
succeed,2025-09-12 16:40:00,Master-Card,TEHRAN,0.0,90
fail,2025-09-05 09:45:00,Visa,Tabriz,-5000.0,38
failed,2025-09-05 19:40:00,Visa,Isfahan,1883871.0,50
fail,2025-09-27 04:15:00,Amex,Mashhad,585954.0,38
fail,2025-09-23 23:17:00,MasterCard,Tehran ,1.0,56
fail,2025-09-09 19:51:00,Visa,Mashhad,419089.0,63
success,2025-09-09 23:17:00,Visa,Mashhad,914465.0,48
fail,2025-09-03 16:16:00,Amex,Qom,1050805.0,91
success,2025-09-19 14:11:00,Discover,Tehran ,583952.0,59
fail,2025-09-16 23:17:00,visa,karaj,-999999.0,77
fail,2025-09-16 12:44:00,MasterCard,Tehran,1782689.0,44
success,2025-09-03 13:13:00,Visa,Ahvaz,200000.0,91
fail,2025-09-20 14:30:00,Amex,karaj,0.0,55
fail,2025-09-24 07:08:00,Discover,Karaj,343679.0,55
fail,2025-09-22 07:08:00,MasterCard,Shiraz,9999999999.0,1
success,2025-09-24 03:00:00,MasterCard,Isfahan,1502601.0,8
success,2025-09-01 10:48:00,MasterCard,Shiraz,-999999.0,4
fail,2025-09-24 06:30:00,Vsa,Karaj,0.0,85
fail,2025-09-20 12:44:00,Visa,Tehran,343679.0,87
success,2025-09-11 03:27:00,Master-Card,Tabriz,900000.0,53
fail,2025-09-17 09:00:00,Vsa,Tehran,914465.0,58
failed,2025-09-08 07:07:00,Discover,karaj,99999.0,37
success,2025-09-04 07:08:00,Visa,Karaj,0.0,49
success,2025-09-06 01:01:00,Discover,Mashhad,343679.0,67
fail,2025-09-08 16:40:00,Discover,karaj,914465.0,19
success,2025-09-20 07:08:00,Amex,Karaj,-5000.0,1
failed,2025-09-30 12:44:00,Visa,TEHRAN,120000.0,29
success,2025-09-03 14:11:00,nan,Tehran,1463119.0,88
success,2025-09-16 12:34:00,Visa,Mashhad,1463119.0,33
success,2025-09-30 10:05:00,Discover,Karaj,914465.0,52
success,2025-09-25 09:45:00,Visa,Tabriz,555555.0,41
fail,2025-09-03 08:59:00,Discover,Tabriz,1387769.0,23
success,2025-09-25 07:08:00,Vsa,Isfahan,450000.0,5
fail,2025-09-29 16:16:00,Amex,Ahvaz,-1.0,71
success,2025-09-18 10:48:00,Visa,Mashhad,5000.0,57
failed,2025-09-14 08:59:00,Master-Card,Mashhad,100.5,6
failed,2025-09-18 20:33:00,Vsa,Isfahan,-5000.0,49
success,2025-09-02 19:51:00,MastCard,Tabriz,774681.0,22
fail,2025-09-22 23:17:00,Vsa,TEHRAN,471227.0,77
fail,2025-09-03 07:08:00,Amex,Tabriz,177050.0,76
success,2025-09-16 02:24:00,MasterCard,Qom,914282.0,4
failed,2025-09-29 12:44:00,Discover,Tehran,450000.0,72
success,2025-09-09 21:21:00,Visa,Isfahan,0.0,64
fail,2025-09-04 07:32:00,Amex,TEHRAN,63489.0,37
Success,2025-09-01 23:59:00,Master-Card,nan,555555.0,31
succeed,2025-09-04 21:21:00,Amex,Isfahan,-999999.0,37
success,2025-09-01 04:15:00,nan,Tehran,200000.0,45
success,2025-09-14 08:08:00,Discover,Tabriz,1578078.0,91
success,2025-09-21 14:00:00,MastCard,Tabriz,583952.0,8
success,2025-09-16 10:05:00,Amex,Shiraz,63489.0,40
FAIL,2025-09-20 10:05:00,MastCard,Mashhad,250000.0,98
fail,2025-09-24 13:13:00,Amex,Ahvaz,583952.0,94
success,2025-09-08 03:27:00,Visa,Karaj,1768588.0,5
success,2025-09-07 15:45:00,Visa,Tabriz,5000.0,28
failed,2025-09-03 04:15:00,VISA,Ahvaz,1472823.0,81
failed,2025-09-17 10:48:00,Visa,karaj,1000.0,88
FAIL,2025-09-01 23:59:00,MasterCard,Qom,1463119.0,9
success,2025-09-16 10:05:00,MasterCard,TEHRAN,-999999.0,2
failed,2025-09-12 13:13:00,Discover,Ahvaz,1782689.0,63
success,2025-09-27 15:45:00,Vsa,Qom,250000.0,97
success,2025-09-19 09:09:00,MastCard,TEHRAN,1782689.0,51
fail,2025-09-22 07:07:00,Master-Card,Qom,1502601.0,31
failed,2025-09-23 04:40:00,MasterCard,Mashhad,200000.0,7
succeed,2025-09-22 04:15:00,Amex,Isfahan,452545.0,30
fail,2025-09-14 20:20:00,Master-Card,THR,-5000.0,58
