id,status,time,card_type,city,amount,fees,discount,balance_before,is_weekend
206,pending,2024-12-03 00:28:00,nano,Shiraz,587069,4656,27356,1174641,0
207,success,2024-04-28 09:47:00,credit,Hamadan,412048,4722,8030,5670999,1
208,processing,2024-01-30 13:35:00,prepaid,Sanandaj,1690231,6936,29332,2484733,0
209,success,2024-09-13 15:43:00,visa,Urmia,994090,5911,15694,7335799,1
210,reversed,2024-04-12 12:21:00,nano,Rasht,369213,6271,25569,5231009,1
211,pending,2024-12-01 16:20:00,debit,Kerman,479271,2867,11903,6894397,1
212,reversed,2024-04-27 15:09:00,mastercard,Yazd,3230966,2224,27321,7457084,1
213,success,2024-02-20 11:42:00,nano,Hamadan,4831929,2279,25240,9376972,1
214,success,2024-04-19 03:05:00,gift,Tabriz,4455960,6344,6449,8984411,0
215,reversed,2024-10-27 05:18:00,mastercard,Kermanshah,3244720,5572,11492,6953587,1
216,success,2024-09-03 11:10:00,gift,Arak,274184,4415,17092,655929,1
217,failed,2024-04-28 05:39:00,prepaid,Urmia,4454368,5333,11699,7669300,0
218,failed,2024-10-14 01:51:00,shaparak,Tehran,111599,4522,20704,3733009,0
219,processing,2024-04-18 17:21:00,shaparak,Shiraz,431835,3037,12234,4405512,0
220,failed,2024-02-25 04:00:00,visa,Urmia,3689074,5898,29097,5212019,1
221,success,2024-01-07 23:04:00,prepaid,Kerman,3210617,1486,5079,3304286,0
222,failed,2024-08-22 21:00:00,shaparak,Karaj,2253655,1090,1619,5879567,0
223,success,2024-05-31 10:27:00,shaparak,Mashhad,3297344,4431,11572,6841294,0
224,reversed,2024-01-02 07:38:00,virtual,Qom,2918324,3834,6293,5098743,0
225,reversed,2024-06-20 11:04:00,visa,Qazvin,1657522,2216,25100,3228433,0
226,failed,2024-09-14 09:21:00,virtual,Sanandaj,3028772,3475,9065,6647961,1
227,success,2024-12-19 20:21:00,debit,Kerman,2467881,801,28305,5300592,0
228,failed,2024-05-10 09:10:00,visa,Yazd,4586271,1229,27943,5641705,0
229,pending,2024-01-31 09:48:00,prepaid,Kermanshah,1240470,6181,166,1829060,0
230,success,2024-02-27 01:33:00,visa,Urmia,1141646,6283,22134,1641642,1
231,failed,2024-07-10 04:24:00,gift,Tehran,2989279,1746,22481,7559163,0
232,success,2024-03-22 13:21:00,visa,Rasht,1812510,3529,5269,7650402,0
233,failed,2024-01-29 04:44:00,virtual,Qazvin,3107004,1646,29090,6541467,0
234,pending,2024-05-18 17:45:00,prepaid,Kerman,447581,834,15747,920719,0
235,pending,2024-11-16 22:34:00,credit,Yazd,392256,615,5025,1252749,1
236,processing,2024-06-14 02:32:00,gift,Bandar Abbas,4177287,1185,8163,5313896,1
237,failed,2024-07-23 10:36:00,virtual,Shiraz,732064,3738,22716,3712991,0
238,pending,2024-10-24 03:54:00,shaparak,Qazvin,289104,5025,26802,2239244,0
239,failed,2024-10-31 00:02:00,mastercard,Tehran,2653227,1845,12245,6077752,0
240,success,2024-04-05 02:23:00,prepaid,Karaj,2464234,2745,28977,6635045,0
241,reversed,2024-04-10 01:28:00,credit,Qazvin,4392189,539,22163,8152358,1
242,success,2024-01-11 07:42:00,debit,Kerman,2425724,1119,22384,5337912,1
243,reversed,2024-02-11 04:53:00,micro,Bandar Abbas,4317160,302,27237,6684953,1
244,success,2024-02-27 06:57:00,debit,Rasht,417392,5354,27973,7149601,1
245,processing,2024-12-15 09:58:00,virtual,Qazvin,1341737,3639,3725,4168607,1
246,pending,2024-09-08 00:14:00,debit,Urmia,3405635,1095,4873,9319475,1
247,reversed,2024-02-10 09:58:00,prepaid,Rasht,4136828,1107,3091,4543248,1
248,failed,2024-10-05 00:29:00,prepaid,Kerman,1944469,1185,2430,4763242,1
249,reversed,2024-03-15 09:10:00,nano,Tehran,666969,2505,4411,3722594,0
250,success,2024-11-07 23:33:00,mastercard,Rasht,3517821,6274,3785,4876661,0
251,reversed,2024-07-15 09:34:00,prepaid,Kermanshah,682012,4079,17681,5034973,0
252,reversed,2024-08-13 05:25:00,credit,Kashan,84805,2692,14452,4581824,1
253,processing,2024-11-17 04:57:00,mastercard,Yazd,2742009,3845,21158,5007867,1
254,processing,2024-04-30 21:49:00,visa,Tehran,2690148,1419,12841,7507390,0
255,reversed,2024-04-19 16:11:00,debit,Kashan,180312,5888,24833,6424486,1
256,success,2024-07-22 07:40:00,shaparak,Qom,1645742,2678,29073,3969630,0
257,reversed,2024-03-15 13:38:00,mastercard,Kashan,616054,684,10151,1898745,1
258,processing,2024-12-04 13:16:00,shaparak,Hamadan,2323149,2994,20745,2689928,1
259,success,2024-08-08 09:56:00,prepaid,Ahvaz,3073155,2085,15042,9987841,0
260,processing,2024-03-29 08:38:00,mastercard,Urmia,3884397,4514,22295,7795745,1
261,success,2024-12-14 02:02:00,credit,Sanandaj,2380853,5189,13626,5666543,0
262,reversed,2024-05-04 07:36:00,debit,Sanandaj,845204,2062,8952,4686547,0
263,reversed,2024-06-26 21:49:00,micro,Arak,2262544,5396,5131,6045311,0
264,failed,2024-02-17 19:02:00,mastercard,Rasht,230294,1709,6313,3761214,1
265,pending,2024-11-06 21:05:00,nano,Shiraz,1916920,2838,681,7903323,1
266,processing,2024-07-27 01:16:00,debit,Bandar Abbas,992004,6467,2363,6950159,0
267,pending,2024-10-27 15:04:00,shaparak,Arak,4217750,5486,2381,5025643,0
268,success,2024-02-03 21:38:00,gift,Qazvin,1146474,1191,3354,7300320,0
269,pending,2024-12-01 04:35:00,visa,Tabriz,3650078,888,19342,8572683,1
270,failed,2024-07-10 20:43:00,virtual,Yazd,4905313,543,19160,6082532,1
271,success,2024-06-30 14:30:00,prepaid,Kermanshah,3698725,6080,16260,6065530,0
272,success,2024-09-13 09:56:00,mastercard,Rasht,1863871,2498,16980,7820616,1
273,processing,2024-05-31 02:43:00,shaparak,Tabriz,4552891,1232,17275,8492469,1
274,pending,2024-08-06 08:16:00,visa,Sanandaj,3744732,5571,22913,8060059,0
275,success,2024-10-15 19:02:00,prepaid,Kerman,2521417,6919,17834,8395439,1
276,pending,2024-08-03 03:40:00,prepaid,Mashhad,4198200,4236,10177,10100568,0
277,processing,2024-03-05 13:03:00,debit,Shiraz,2291884,6280,9382,5839645,1
278,reversed,2024-07-02 06:44:00,shaparak,Rasht,3397238,4036,19527,7970753,1
279,failed,2024-02-01 09:46:00,virtual,Mashhad,1075987,6584,15332,4394970,1
280,processing,2024-11-23 04:55:00,shaparak,Tehran,3027344,678,21017,7314741,0
281,processing,2024-05-25 00:12:00,gift,Rasht,4524553,6430,25584,7231549,0
282,processing,2024-11-21 18:27:00,virtual,Arak,1439578,6360,22767,7581508,0
283,success,2024-08-05 13:27:00,micro,Qazvin,2388127,3911,4207,8294268,0
284,processing,2024-07-07 00:56:00,mastercard,Qazvin,1145333,6557,14058,4700212,1
285,reversed,2024-08-20 06:31:00,mastercard,Tehran,3553590,1405,9552,9657417,0
286,reversed,2024-09-14 05:32:00,visa,Qom,2000956,2313,6206,7003410,1
287,failed,2024-06-02 00:21:00,debit,Shiraz,1223642,3200,25762,2515724,1
288,reversed,2024-11-30 17:38:00,prepaid,Tehran,4526556,651,12223,10159703,0
289,processing,2024-02-28 12:16:00,gift,Yazd,4454391,1064,24962,5799323,0
290,processing,2024-06-14 15:06:00,shaparak,Yazd,1984605,3699,20006,8921845,1
291,failed,2024-01-24 07:13:00,credit,Yazd,4006226,4603,27382,5765541,0
292,failed,2024-05-13 02:41:00,shaparak,Hamadan,217499,3709,20549,977041,0
293,failed,2024-02-16 07:03:00,nano,Tehran,1246676,5615,27248,7737871,0
294,success,2024-02-08 13:03:00,mastercard,Shiraz,972503,6400,17134,5662511,0
295,success,2024-02-04 22:19:00,shaparak,Qazvin,4714563,120,5453,9936746,0
296,failed,2024-01-23 03:42:00,visa,Kermanshah,2113444,4896,18887,6350285,0
297,pending,2024-06-15 07:39:00,prepaid,Kermanshah,682372,6757,6063,4932262,0
298,success,2024-06-14 14:28:00,mastercard,Kerman,1869756,248,8691,6486504,0
299,pending,2024-11-13 16:55:00,micro,Qazvin,3874466,6670,628,4223581,1
300,reversed,2024-07-27 08:54:00,micro,Yazd,2199564,1810,24746,7245074,0
301,pending,2024-09-15 15:58:00,virtual,Isfahan,3643601,3921,26025,6003544,1
302,reversed,2024-12-09 13:57:00,visa,Urmia,1229164,1494,7544,4019666,1
303,processing,2024-04-20 17:41:00,virtual,Sanandaj,2248396,3484,8123,5441045,1
304,processing,2024-10-30 17:23:00,prepaid,Qom,1504402,1496,5322,4834308,1
305,success,2024-09-15 21:00:00,prepaid,Tehran,1536036,6609,6935,6966539,1
306,processing,2024-06-06 11:04:00,virtual,Hamadan,454143,4999,14324,5830410,0
307,reversed,2024-11-03 10:43:00,prepaid,Urmia,4825115,1913,18498,9483876,0
308,failed,2024-02-18 03:33:00,virtual,Bandar Abbas,564465,2097,5025,4359986,0
309,reversed,2024-03-03 08:55:00,micro,Karaj,1321175,3539,2051,2273564,1
310,failed,2024-10-02 14:45:00,credit,Urmia,4276602,6160,24892,9587237,0
311,failed,2024-06-15 02:16:00,gift,Tehran,210471,5228,6821,5017573,1
312,reversed,2024-05-22 07:05:00,nano,Tehran,1738006,1511,18307,6347731,1
313,failed,2024-02-26 14:37:00,shaparak,Kermanshah,4299319,5908,27729,11247823,0
314,failed,2024-01-03 09:38:00,visa,Kermanshah,2292454,3709,6555,6623973,0
315,reversed,2024-06-16 05:33:00,gift,Yazd,4821598,856,20989,10967350,0
316,reversed,2024-06-11 13:21:00,gift,Qazvin,4212490,5997,10922,7378001,0
317,pending,2024-04-06 17:05:00,gift,Qom,3665006,1255,2919,10409830,0
318,processing,2024-04-11 09:07:00,micro,Mashhad,3679202,2878,6660,6624687,1
319,pending,2024-03-20 13:03:00,shaparak,Yazd,1908283,3450,16677,7823498,1
320,pending,2024-08-16 15:22:00,shaparak,Qazvin,2942153,3406,1832,6621270,1
321,processing,2024-11-29 21:21:00,visa,Yazd,3484736,5482,15917,5534449,1
322,success,2024-08-08 21:16:00,micro,Hamadan,2046668,2104,10269,3920556,1
323,failed,2024-09-20 06:20:00,micro,Isfahan,1927139,5846,13496,3680161,0
